name,selling_price,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti A-Star Vxi,200000,2010,65000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,998 CC,66.1 bhp,5
Maruti Wagon R VXI BSIII,200000,2011,80000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5
Hyundai Verna 1.6 CRDi S,560000,2015,119000,Diesel,Individual,Manual,First Owner,23.9 kmpl,1582 CC,126.2 bhp,5
Maruti Ertiga SHVS VDI,750000,2016,80000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7
Maruti Swift VDI BSIV,585000,2017,90000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5
Hyundai Verna 1.6 VTVT S Option,760000,2016,20000,Petrol,Individual,Manual,First Owner,17.01 kmpl,1591 CC,121.4 bhp,5
Maruti Swift VDI BSIV,430000,2014,80000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,5
Mahindra KUV 100 D75 K6 Plus,480000,2020,44665,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,6
Kia Seltos HTE D,643000,2019,10000,Diesel,Individual,Manual,First Owner,20.8 kmpl,1493 CC,113.4 bhp,5
Hyundai Xcent 1.2 VTVT S,500000,2018,60000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5
Honda Brio 1.2 S MT,425000,2016,22000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1198 CC,86.8 bhp,5
Maruti Alto 800 LXI,250000,2014,25000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5
Maruti Celerio LDi,285000,2016,70000,Diesel,Individual,Manual,First Owner,27.62 kmpl,793 CC,47 bhp,5
Maruti Swift Dzire VXi,160000,2008,123000,Petrol,Individual,Manual,Third Owner,17.5 kmpl,1298 CC,85.8 bhp,5
Volkswagen Vento Diesel Trendline,250000,2011,70000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5
Chevrolet Beat LS,170000,2013,70000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1199 CC,79.4 bhp,5
Toyota Etios Liva GD,409999,2013,45000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,5
Hyundai Grand i10 AT Asta,400000,2015,40000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,1197 CC,82 bhp,5
Maruti Swift Dzire VDI,700000,2019,30000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5
Honda Civic 1.8 V AT,350000,2007,90000,Petrol,Individual,Automatic,First Owner,12.9 kmpl,1799 CC,130 bhp,5
Maruti Ertiga BSIV VXI,660000,2016,34000,Petrol,Individual,Manual,Second Owner,17.5 kmpl,1373 CC,91.1 bhp,7
Maruti Alto 800 VXI,268000,2017,25000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5
Maruti Alto 800 VXI,270000,2016,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5
Chevrolet Beat Diesel LT,300000,2013,50000,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,5
Tata Tiago 1.2 Revotron XZ,450000,2017,90000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,5
Chevrolet Beat Diesel LT,220000,2012,70000,Diesel,Individual,Manual,Second Owner,25.44 kmpl,936 CC,57.6 bhp,5
Tata New Safari DICOR 2.2 VX 4x2,250000,2009,146000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138 bhp,7
Ford Figo Petrol EXI,300000,2012,85000,Petrol,Individual,Manual,Second Owner,15.6 kmpl,1196 CC,70 bhp,5
Tata Indica V2 2001-2011 DLS BSIII,88000,2009,201850,Diesel,Individual,Manual,Second Owner,17.88 kmpl,1396 CC,52.8 bhp,5
Maruti Swift Dzire VDI,561000,2016,30000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5
Maruti Swift Dzire VDI,755000,2018,15000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5
Datsun RediGO S,235000,2017,25000,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,5
Maruti Alto K10 LXI,165000,2011,90000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,5
Maruti Swift Dzire LDi,190000,2008,80000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Tata Indica V2 DLX BSII,110000,2011,50000,Diesel,Individual,Manual,First Owner,17.2 kmpl,1396 CC,53.5 bhp,5
Mahindra Bolero 2011-2019 DI 4WD NON AC,320000,2012,80000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,8
Maruti Swift VDI BSIV,330000,2010,110000,Diesel,Individual,Manual,Second Owner,,,,
Hyundai i20 Asta Option 1.2,540000,2016,38000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Hyundai EON Era Plus,180000,2013,60000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5
Maruti Eeco 7 Seater Standard BSIV,270000,2016,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,7
Maruti Swift Dzire 1.2 Vxi BSIV,450000,2012,30000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1197 CC,85.8 bhp,5
Maruti Swift Dzire VXI,450000,2014,30000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,85.8 bhp,5
Chevrolet Beat LT,200000,2015,50000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1199 CC,76.8 bhp,5
Tata Tiago 1.2 Revotron XZ,425000,2017,42000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,5
Chevrolet Sail 1.2 LS ABS,400000,2016,30000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,82.4 bhp,5
Maruti Alto LXi BSIII,125000,2009,60000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5
Jeep Compass 2.0 Longitude Option BSIV,1600000,2018,14000,Diesel,Individual,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,5
Honda City i VTEC VX,900000,2015,22000,Petrol,Individual,Manual,First Owner,17.4 kmpl,1497 CC,117.3 bhp,5
Volkswagen Vento Diesel Highline,450000,2012,90000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,5
Maruti Alto K10 2010-2014 VXI,210000,2011,46000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,5
Hyundai i20 1.2 Asta Option,801000,2018,20000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Tata Venture EX 7 Str Captain Seats,317000,2014,15000,Diesel,Individual,Manual,First Owner,15.42 kmpl,1405 CC,70 bhp,7
Maruti Ertiga VXI,600000,2015,40000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,7
Hyundai i20 Magna,330000,2014,30000,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,82.85 bhp,5
Hyundai EON Magna Plus,320000,2017,15000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5
Maruti Estilo LXI,160000,2010,50000,Petrol,Individual,Manual,First Owner,,,,
Hyundai Getz GLX,120000,2007,110000,Petrol,Individual,Manual,Second Owner,15.3 kmpl,1341 CC,83 bhp,5
Maruti Alto LXi,130000,2009,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5
Chevrolet Sail 1.2 LS,220000,2015,80000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,82.4 bhp,5
Maruti Swift VDI BSIV,229999,2008,50000,Diesel,Individual,Manual,Third Owner,,,,
Tata Zest Revotron 1.2T XM,340000,2015,110000,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,5
Ford Classic 1.4 Duratorq CLXI,200000,2013,70000,Diesel,Individual,Manual,Second Owner,19.68 kmpl,1399 CC,67 bhp,5
Maruti Alto LXI,140000,2002,50000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5
Toyota Innova 2.5 G (Diesel) 8 Seater,1000000,2013,190000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,8
Mahindra Bolero SLX,495000,2010,100000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,7
Maruti Alto 800 LXI,236000,2015,60000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5
Maruti Wagon R VXI BS IV,390000,2015,40000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5
Maruti Swift Dzire VDi,275000,2009,90000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Tata Safari Storme EX,503000,2015,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,7
Maruti Vitara Brezza ZDi Plus Dual Tone,775000,2017,32000,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Toyota Innova Crysta 2.8 ZX AT BSIV,1800000,2016,30000,Diesel,Individual,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,7
Hyundai Creta 1.6 CRDi SX,850000,2016,58000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5
Maruti Vitara Brezza VDi,750000,2018,5000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Hyundai i20 1.2 Spotz,570000,2018,25000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Hyundai Grand i10 1.2 Kappa Sportz BSIV,580000,2018,32000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5
Honda Jazz 1.2 VX i VTEC,484999,2016,30000,Petrol,Individual,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,5
Honda BR-V i-VTEC S MT,700000,2017,43000,Petrol,Dealer,Manual,First Owner,15.4 kmpl,1497 CC,117.3 bhp,7
Hyundai Verna S,415000,2012,60000,Petrol,Dealer,Manual,First Owner,17.7 kmpl,1497 CC,113.42 bhp,5
Nissan Micra XV CVT,325000,2015,50000,Petrol,Individual,Automatic,First Owner,19.34 kmpl,1198 CC,76 bhp,5
Ford Figo Aspire 1.2 Ti-VCT Trend,550000,2018,14200,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,5
Hyundai EON Sportz,300000,2017,10000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5
Datsun RediGO T Option,217000,2018,25000,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,5
Ford Freestyle Titanium Petrol BSIV,700000,2018,19100,Petrol,Individual,Manual,First Owner,19.0 kmpl,1194 CC,94.68 bhp,5
Hyundai Santro Sportz AMT BSIV,466000,2019,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3 kmpl,1086 CC,68 bhp,5
Ford EcoSport 1.5 Diesel Trend BSIV,484999,2014,54000,Diesel,Dealer,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5
Nissan Sunny XL D,670000,2018,35000,Diesel,Individual,Manual,First Owner,22.71 kmpl,1461 CC,84.8 bhp,5
Hyundai Grand i10 1.2 Kappa Sportz BSIV,500000,2018,20000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,81.86 bhp,5
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,675000,2016,52000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,5
Hyundai i20 1.4 CRDi Asta,220000,2011,120000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5
Jeep Compass 2.0 Limited,1650000,2017,50000,Diesel,Individual,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,5
Maruti Ertiga ZDI,630000,2013,120000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.8 bhp,7
Tata Manza Aura Quadrajet,250000,2010,90000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,5
Maruti Wagon R LXI,120000,2004,120000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,5
Skoda Rapid 1.5 TDI Elegance,300000,2015,101500,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,5
Hyundai Verna 1.6 CRDi EX AT,525000,2013,75000,Diesel,Individual,Automatic,First Owner,22.32 kmpl,1582 CC,126.3 bhp,5
Maruti Alto K10 LXI,204999,2011,97500,Petrol,Individual,Manual,First Owner,,,0,
Maruti Alto K10 LXI,204999,2011,97500,Petrol,Individual,Manual,First Owner,,,0,
Mahindra Scorpio 1.99 S10,1100000,2016,100000,Diesel,Individual,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,7
Renault Duster 110PS Diesel RxZ,480000,2012,55735,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5
Mahindra XUV500 W4,605000,2014,80000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,7
Maruti Alto 800 LXI Optional,250000,2016,50000,Petrol,Individual,Manual,Second Owner,24.7 kmpl,796 CC,47.3 bhp,5
Ford Figo Diesel Celebration Edition,245000,2013,70000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68.1 bhp,5
Hyundai i10 Magna 1.2 iTech SE,210000,2012,76000,Petrol,Individual,Manual,Fourth & Above Owner,20.36 kmpl,1197 CC,78.9 bhp,5
Maruti Swift Dzire VXI 1.2,730000,2020,1500,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5
Mahindra Bolero 2011-2019 SLX,500000,2012,76000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7
Maruti Wagon R VXI Optional,400000,2015,40000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5
Hyundai EON Magna Plus,280000,2015,60000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,561000,2009,170000,Diesel,Individual,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,8
Mitsubishi Pajero Sport 4X4,950000,2013,181491,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,7
Chevrolet Beat Diesel LS,375000,2016,53319,Diesel,Dealer,Manual,First Owner,25.44 kmpl,936 CC,56.3 bhp,5
Volkswagen Ameo 1.5 TDI Comfortline,700000,2017,40906,Diesel,Dealer,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,5
Toyota Etios VX,375000,2012,31711,Petrol,Dealer,Manual,Second Owner,17.6 kmpl,1496 CC,88.7 bhp,5
Hyundai EON Era Plus,270000,2012,43755,Petrol,Dealer,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5
Renault KWID RXT,300000,2016,66693,Petrol,Dealer,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5
Maruti Zen Estilo VXI BSIV,225000,2010,59549,Petrol,Dealer,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,5
Toyota Innova 2.5 G (Diesel) 8 Seater,1350000,2015,94385,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,8
Maruti Zen Estilo LXI BSIII,200000,2010,73730,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,5
Hyundai Verna 1.6 SX,400000,2011,221889,Diesel,Dealer,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,5
Honda Amaze VX i-DTEC,500000,2013,116104,Diesel,Dealer,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,5
Maruti Swift VXI BSIV,500000,2015,150546,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5
Toyota Fortuner 2.8 2WD MT,1500000,2013,148120,Diesel,Dealer,Manual,First Owner,14.24 kmpl,2755 CC,174.5 bhp,7
Ford Ecosport 1.5 Ti VCT MT Titanium,555000,2015,20000,Petrol,Individual,Manual,Second Owner,15.8 kmpl,1499 CC,110 bhp,5
Hyundai Grand i10 1.2 Kappa Magna AT,580000,2018,30000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5
Tata Aria Pride,337000,2011,142000,Diesel,Individual,Manual,Third Owner,13.7 kmpl,2179 CC,138.1 bhp,7
Tata Sumo CX 10 Str BSIV,175000,2011,20000,Diesel,Individual,Manual,First Owner,12.2 kmpl,1948 CC,68 bhp,10
Tata Manza Aura Plus Quadrajet,180000,2009,120000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,5
Hyundai i10 Sportz 1.1L,200000,2011,80000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Tata Indigo CS LX (TDI) BS-III,260000,2016,60000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5
Renault KWID 1.0 RXT Optional,350000,2016,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5
Mahindra Bolero SLX,409999,2011,50000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,7
Mahindra TUV 300 T8,655000,2017,126000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7
Maruti Swift Dzire LDI,370000,2015,170000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5
Maruti Alto 800 LXI,200000,2013,24000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5
Maruti Ertiga SHVS ZDI,800000,2017,100000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,7
Tata Tiago NRG Petrol,550000,2019,10000,Petrol,Individual,Manual,First Owner,24.0 kmpl,1199 CC,83.81 bhp,5
Ford Figo Diesel ZXI,300000,2012,70000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,5
Maruti Omni E MPI STD BS IV,220000,2017,40000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,8
Maruti Wagon R LXI BS IV,196000,2011,110000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5
Hyundai i10 Era,135000,2008,80000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Tata Bolt Revotron XE,299000,2015,16500,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,5
Maruti Alto K10 VXI,300000,2017,30000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Maruti Ertiga SHVS VDI,720000,2017,80000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7
Tata Safari Storme EX,650000,2016,50000,Diesel,Individual,Manual,Third Owner,14.1 kmpl,2179 CC,147.94 bhp,7
Maruti Alto K10 VXI,300000,2016,25000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Hyundai Grand i10 1.2 CRDi Asta,750000,2019,20000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5
Renault KWID RXT,260000,2016,60000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5
Maruti Swift VDI,300000,2011,70000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,5
Mahindra Bolero 2011-2019 SLX,600000,2014,50000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,7
Honda Accord V6 AT,275000,2004,100000,Petrol,Individual,Automatic,Second Owner,9.0 kmpl,2997 CC,218 bhp,5
Maruti Alto K10 VXI,250000,2015,52000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Maruti Swift Dzire VDI,420000,2014,80000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5
Hyundai EON Era Plus,235000,2015,50000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5
Mahindra Scorpio S10 7 Seater,1100000,2016,60000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,7
Maruti Alto K10 VXI,360000,2019,25000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Hyundai Grand i10 CRDi Asta,380000,2014,50000,Diesel,Individual,Manual,Second Owner,24.0 kmpl,1120 CC,70 bhp,5
Ford EcoSport 1.5 TDCi Titanium BSIV,650000,2016,125000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5
Maruti Wagon R VXI Optional,350000,2016,80000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5
Mahindra Bolero 2011-2019 DI - AC BS III,700000,2017,70000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,9
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),270000,2010,90000,Diesel,Individual,Manual,Third Owner,23.0 kmpl,1396 CC,90 bhp,5
Tata Bolt Quadrajet XE,450000,2017,50000,Diesel,Individual,Manual,First Owner,22.95 kmpl,1248 CC,74 bhp,5
Mahindra Thar CRDe,630000,2016,101000,Diesel,Individual,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,6
Mahindra Xylo E4 BS IV,229999,2010,168000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,7
Mahindra Xylo E4 BS IV,229999,2010,168000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,7
Maruti Wagon R VXI BS IV,270000,2011,40000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5
Tata Indica Vista Aura Safire Anniversary Edition,135000,2009,28900,Petrol,Individual,Manual,Second Owner,0.0 kmpl,1172 CC,65 bhp,5
Maruti Wagon R VXI BS IV,275000,2012,20000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,5
Lexus ES 300h,5150000,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,5
Jaguar XF 2.0 Diesel Portfolio,3200000,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5
Tata Safari Storme EX,503000,2015,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,7
Volvo XC40 D4 Inscription BSIV,3800000,2019,20000,Diesel,Individual,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,5
Toyota Camry 2.5 Hybrid,2000000,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5
Maruti Wagon R LXI,225000,2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,5
Maruti Baleno Alpha 1.3,740000,2018,38817,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,5
Honda Jazz VX,550000,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,5
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,7
Maruti Swift AMT VVT VXI,650000,2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5
Toyota Etios VX,625000,2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,5
Maruti Swift AMT ZXI,600000,2018,69779,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5
Hyundai Grand i10 1.2 CRDi Sportz,450000,2017,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5
BMW X4 M Sport X xDrive20d,5400000,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5
BMW X4 M Sport X xDrive20d,5500000,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5
Honda Amaze V CVT Petrol BSIV,779000,2019,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,5
Skoda Rapid 1.6 MPI AT Elegance,645000,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,5
Volvo V40 D3 R-Design,2475000,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,5
Mahindra TUV 300 T8,634000,2015,165000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7
Maruti A-Star Zxi,235000,2012,98500,Petrol,Individual,Manual,Second Owner,19.0 kmpl,998 CC,66.1 bhp,5
Hyundai i10 Asta,275000,2008,98000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,5
Mahindra Thar CRDe AC,700000,2014,40000,Diesel,Individual,Manual,Second Owner,16.55 kmpl,2498 CC,105 bhp,6
Fiat Grande Punto Sport 90BHP,400000,2013,90000,Diesel,Individual,Manual,First Owner,20.3 kmpl,1248 CC,92 bhp,5
Maruti Alto LXi,215000,2012,90000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5
Hyundai Getz 1.5 CRDi GVS,150000,2009,110000,Diesel,Individual,Manual,Second Owner,17.1 kmpl,1493 CC,110 bhp,5
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,950000,2018,77800,Diesel,Individual,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,5
Mahindra TUV 300 T8,730000,2015,100000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7
Tata Indica V2 Turbomax DLS BS IV,135000,2012,120000,Diesel,Individual,Manual,Second Owner,19.0 kmpl,1405 CC,71 bhp,5
Hyundai Xcent 1.2 Kappa Base,350000,2016,80000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,82 bhp,5
Mahindra KUV 100 G80 K6 Plus,535000,2018,21000,Petrol,Individual,Manual,Second Owner,18.15 kmpl,1198 CC,82 bhp,6
Maruti Swift Dzire Tour S CNG,455000,2018,100000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1197 CC,85.8 bhp,5
Maruti Swift Dzire VXI 1.2,655000,2019,25000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5
Ford EcoSport 1.5 Diesel Titanium BSIV,800000,2019,30000,Diesel,Individual,Manual,Third Owner,23.0 kmpl,1498 CC,98.96 bhp,5
Toyota Yaris V CVT BSIV,1100000,2018,25000,Petrol,Individual,Automatic,First Owner,17.8 kmpl,1496 CC,105.5 bhp,5
Mercedes-Benz E-Class E250 CDI Avantgarde,3000000,2016,40000,Diesel,Individual,Automatic,First Owner,13.0 kmpl,2143 CC,204 bhp,5
